author_id,username,fullname,biography,verified,joined_datetime,tweets_count,following_count,followers_count,likes_count,profile_picture_url,banner_picture_url
1624805745194672128,MrsGaliano,el Tio de la Alpargata,Defender tu partido político NO es defender a tu equipo de fútbol,True,2023-02-12 16:21:00,12128,442,159,20378,https://pbs.twimg.com/profile_images/1625286614111887366/2jGOqP95.jpg,https://pbs.twimg.com/profile_banners/1624805745194672130/1700222794/1500x500
1365578420,LomasSan,santilzzz,QUE LE VOY A HACER SI TENGO LA MENTE SUCIA😈😈 Este es el lugar donde mostrar lo que quiero sin hacer daño a nadie.,True,2013-04-19 22:56:00,13950,1285,340,181290,https://pbs.twimg.com/profile_images/916305598421131272/J4xxNHxR.jpg,https://pbs.twimg.com/profile_banners/1365578420/1447807433/1500x500
1039862506607595648,Alaiintxo,Alain,2024-04-06,True,2018-09-12 13:05:00,5413,231,101,23586,https://pbs.twimg.com/profile_images/1863991143802806272/doAWhZ3E.jpg,https://pbs.twimg.com/profile_banners/1039862506607595520/1712504921/1500x500
1247074831444709376,EHermafrodito,ElSeñoritoH,"La gente se toma tuiter demasiado en serio. Loles y algo de cine. Maldad, Caos, 🧼",True,2020-04-06 08:13:00,57179,1794,1946,122356,https://pbs.twimg.com/profile_images/1766746148029571072/aLmbYkCv.jpg,https://pbs.twimg.com/profile_banners/1247074831444709379/1683871151/1500x500
nan,GonrodMarilu,Mardecastilla,,True,2023-02-03 21:12:00,70066,410,99,14,,
211710896,SergiEstape,Sergi Estapé,Jo sóc jo. I tu? Ets tu?,True,2010-11-04 01:06:00,46518,677,833,42479,https://pbs.twimg.com/profile_images/1159228896/_39860102_gascoigne_203.jpg,https://pbs.twimg.com/profile_banners/211710896/1556214359/1500x500
1666948230003806208,Brisafresca5,Α Ω ✝🇪🇦,Rectitud antes que la paz,True,2023-06-08 23:20:00,16703,701,175,67539,https://pbs.twimg.com/profile_images/1725282441915416576/qOtLe44c.jpg,https://pbs.twimg.com/profile_banners/1666948230003806209/1689692442/1500x500
nan,Albatro__s,Albatros,"Hasta el gorro de los años que tengo, y no porque los tengo, sino porque ya se me agota el saldo y a los bancos ni me dejan entrar.",True,2021-07-24 20:27:00,6286,522,298,18605,https://pbs.twimg.com/profile_images/1718323263779061760/tx1NetJ7.jpg,
488710266,Vareador,𝙑𝘼𝙍𝙀𝘼𝘿𝙊𝙍,"💙 Llego a Twitter para varear a políticos bocachanclas/corruptos, caraduras, vividores, famosillos, chupópteros y demás personajes faranduleros de mal vivir..",True,2012-02-10 19:13:00,108659,3087,2004,176791,https://pbs.twimg.com/profile_images/1661050907767848964/a_6EhaaB.jpg,https://pbs.twimg.com/profile_banners/488710266/1585340036/1500x500
nan,JuanDie33613225,J.D.,,False,2022-05-09 19:11:00,3494,101,4,1746,https://pbs.twimg.com/profile_images/1523742436123623426/ueJ7mb_m.png,
nan,AfnexThe89310,The Afnex,,True,2023-05-18 11:13:00,2132,12,4,5560,https://pbs.twimg.com/profile_images/1659155219450560514/4WRhB_eM.png,
nan,JordiMajoRuaix,Jordi Majó,,True,2020-12-24 12:07:00,19326,2043,5171,25306,https://pbs.twimg.com/profile_images/1898090845800222720/czROtbLh.jpg,
nan,ms_daysy1988,MisLala80,,True,2023-09-19 09:43:00,1494,157,8,1176,https://pbs.twimg.com/profile_images/1704069355212832770/1kUNwmFh.jpg,
1691058965562445824,contralacaverna,EspabilaPaco!!,"Me desahogo de vez en cuando, otras me rio y otras me equivoco. No vale todo por un like o por un seguidor. Defiendo a la clase obrera y al F.C.Barcelona",True,2023-08-14 12:07:00,14279,292,274,57255,https://pbs.twimg.com/profile_images/1868333339955855360/37rOs0MT.jpg,https://pbs.twimg.com/profile_banners/1691058965562445824/1730041697/1500x500
234378531,JJREGIONAL,JUANJOSE,español de las islas canarias de santa cruz de la palma,True,2011-01-05 14:25:00,10890,63,41,177,https://pbs.twimg.com/profile_images/1414914872/real-madrid.jpg,https://pbs.twimg.com/profile_banners/234378531/1697655634/1500x500
1014202213546233984,haca81997,Andy,,True,2018-07-03 17:40:00,1944,1291,82,64814,https://pbs.twimg.com/profile_images/1861901578703122433/6UzZC8R6.jpg,https://pbs.twimg.com/profile_banners/1014202213546233857/1620282678/1500x500
3479422701,fernandoorasio,Fernando Jabonero,,False,2015-08-29 10:46:00,54924,4624,2727,32970,https://pbs.twimg.com/profile_images/1185962490708086785/8AnyP_O_.jpg,https://pbs.twimg.com/profile_banners/3479422701/1475856769/1500x500
1580213182861381632,FiestaFestiva,Fiesta Festiva,,True,2022-10-12 15:06:00,2649,82,14,1151,https://pbs.twimg.com/profile_images/1580213692712587264/1SfRt4gP.jpg,https://pbs.twimg.com/profile_banners/1580213182861381641/1665587278/1500x500
nan,RlopezGa1,R. lopez Ga.,Libertad como filosofía de vida.,True,2021-03-18 19:17:00,90619,935,622,55425,https://pbs.twimg.com/profile_images/1372637393577213961/0DhBRN1j.jpg,
1332022858852294912,Oliviabis2,Oliviabis,Con los pies en la tierra 🌍 Union de España. Coherente.,True,2020-11-26 18:06:00,10516,858,1108,10333,https://pbs.twimg.com/profile_images/1500073715152953352/w7Af-9n0.jpg,https://pbs.twimg.com/profile_banners/1332022858852294659/1618136271/1500x500
nan,olivares_millan,Gabriel Millán Olivares,Yo mismo,True,2021-09-24 17:33:00,14055,81,91,18596,https://pbs.twimg.com/profile_images/1441455829106921483/jZpPK1WX.jpg,
1615266997,Verbalword,Miguel Angel GP,"Tabarnés en Castellón. Viva España. Feliz por la vida q tengo, con ganas de vivir a tope.Escucho esRadio. Madridista, Juventino por SL

A cada día, su afán",True,2013-07-23 13:15:00,53380,1314,1077,56072,https://pbs.twimg.com/profile_images/1379178129240031237/qs9Hls8O.jpg,https://pbs.twimg.com/profile_banners/1615266997/1715246203/1500x500
nan,salamandrayo,Salamandrayo,Solo sé que no sé nada,True,2020-02-11 20:51:00,1215,25,1,11,https://pbs.twimg.com/profile_images/1227347262784798720/LCezy64C.jpg,
1791201040060084224,TxindokiReal,Tocawebs,Al pan pan y al bilbao bilbao,True,2024-05-16 20:16:00,13592,226,73,1903,https://pbs.twimg.com/profile_images/1791454086841163777/AgH6SoDR.jpg,https://pbs.twimg.com/profile_banners/1791201040060084224/1715950911/1500x500
